Component-Whole(e1,e2)	Materials with the general formula AxBB'(PO4)3 consisting of a BB'(PO4)3 framework built up by a corner sharing <e1>B(B')O6 octahedra</e1> and PO4 tetrahedra in such a way that each octahedron is surrounded by six tetrahedra and each tetrahedron is connected to four octahedra , crystallise mainly in the <e2>Nasicon NaZr2(PO4)3</e2> .
Component-Whole(e1,e2)	Materials with the general formula AxBB'(PO4)3 consisting of a BB'(PO4)3 framework built up by a corner sharing B(B')O6 octahedra and <e1>PO4 tetrahedra</e1> in such a way that each octahedron is surrounded by six tetrahedra and each tetrahedron is connected to four octahedra , crystallise mainly in the <e2>Nasicon NaZr2(PO4)3</e2> .
Component-Whole(e1,e2)	Materials with the general formula AxBB'(PO4)3 consisting of a BB'(PO4)3 framework built up by a corner sharing B(B')O6 octahedra and PO4 tetrahedra in such a way that each <e1>octahedron</e1> is surrounded by six tetrahedra and each tetrahedron is connected to four octahedra , crystallise mainly in the <e2>Nasicon NaZr2(PO4)3</e2> .
Cause-Effect(e1,e2)	The increase of the M1 site <e1>size</e1> in Na2SnFe(PO4)3 is accompanied by oxygen displacements perpendicular to the c axis which give rise to <e2>rotation</e2> of the PO4 tetrahedra and leads to a distortion of the [Sn(Fe)x(PO4)3] framework .
Cause-Effect(e1,e2)	The increase of the M1 site <e1>size</e1> in Na2SnFe(PO4)3 is accompanied by oxygen displacements perpendicular to the c axis which give rise to rotation of the PO4 tetrahedra and leads to a <e2>distortion</e2> of the [Sn(Fe)x(PO4)3] framework .
Cause-Effect(e1,e2)	The increase of the M1 site size in Na2SnFe(PO4)3 is accompanied by <e1>oxygen displacements</e1> perpendicular to the c axis which give rise to rotation of the PO4 tetrahedra and leads to a <e2>distortion</e2> of the [Sn(Fe)x(PO4)3] framework .
Method-Of(e2,e1)	The localisation , of Na+ within M1 and M2 sites of Na2SnFe(PO4)3 , and Ca2+ in <e1>M1 sites</e1> of CaSnFe(PO4)3 , has been proved from <e2>powder X-ray diffraction</e2> data .
Cause-Effect(e1,e2)	The linear increases of <e1>M1-O(2) distance</e1> versus A cation ionic radii , in ASnFe(PO4)3 phases , is accompanied with a regular increase of <e2>chex parameters</e2> .
Cause-Effect(e1,e2)	Within the Nasicon framework , there are interconnected interstitial sites usually labeled <e1>M1</e1> and M2 through which A cation can diffuse , giving rise to a fast <e2>ion conductivity</e2> .
Cause-Effect(e1,e2)	Within the Nasicon framework , there are interconnected interstitial sites usually labeled M1 and <e1>M2</e1> through which A cation can diffuse , giving rise to a fast <e2>ion conductivity</e2> .
Cause-Effect(e1,e2)	Within the Nasicon framework , there are interconnected <e1>interstitial sites</e1> usually labeled M1 and M2 through which A cation can diffuse , giving rise to a fast <e2>ion conductivity</e2> .
Method-Of(e1,e2)	The <e1>crystal structures</e1> of ASnFe(PO4)3 phases , obtained by conventional solid state reaction techniques were determined at room temperature from <e2>X-ray powder diffraction</e2> ( XRD ) using Rietveld analysis .
Method-Of(e1,e2)	The <e1>crystal structures</e1> of ASnFe(PO4)3 phases , obtained by conventional solid state reaction techniques were determined at room temperature from X-ray powder diffraction ( XRD ) using <e2>Rietveld analysis</e2> .
Feature-Of(e2,e1)	XRD powder data of the three <e1>ASnFe(PO4)3 phases</e1> indicated that they were highly <e2>crystalline</e2> with their structure belonging to the rhombohedral Nasicon type .
Feature-Of(e1,e2)	XRD powder data of the three <e1>ASnFe(PO4)3</e1> phases indicated that they were highly crystalline with their structure belonging to the <e2>rhombohedral Nasicon type</e2> .
Method-Of(e1,e2)	Syntheses of <e1>ASnFe(PO4)3</e1> were carried out using conventional <e2>solid state reaction techniques</e2> .
Component-Whole(e1,e2)	It should be noticed that within the Nasicon framework , there are four interconnected <e1>cation sites</e1> , usually labeled <e2>M1</e2> ( one per formula unit ) and M2 ( three per formula unit ) which can be represented by the crystallographic [M2]3[M]BB'(PO4)3 formula .
